iso3c,country,year,country_group,sector,pct_of_gdp
KHM,Cambodia,1975,ASEAN,Agriculture,NA
KHM,Cambodia,1975,ASEAN,Industry,NA
KHM,Cambodia,1975,ASEAN,Services,NA
KHM,Cambodia,1975,ASEAN,Manufacturing,NA
KHM,Cambodia,1976,ASEAN,Agriculture,NA
KHM,Cambodia,1976,ASEAN,Industry,NA
KHM,Cambodia,1976,ASEAN,Services,NA
KHM,Cambodia,1976,ASEAN,Manufacturing,NA
KHM,Cambodia,1977,ASEAN,Agriculture,NA
KHM,Cambodia,1977,ASEAN,Industry,NA
KHM,Cambodia,1977,ASEAN,Services,NA
KHM,Cambodia,1977,ASEAN,Manufacturing,NA
KHM,Cambodia,1978,ASEAN,Agriculture,NA
KHM,Cambodia,1978,ASEAN,Industry,NA
KHM,Cambodia,1978,ASEAN,Services,NA
KHM,Cambodia,1978,ASEAN,Manufacturing,NA
KHM,Cambodia,1979,ASEAN,Agriculture,NA
KHM,Cambodia,1979,ASEAN,Industry,NA
KHM,Cambodia,1979,ASEAN,Services,NA
KHM,Cambodia,1979,ASEAN,Manufacturing,NA
KHM,Cambodia,1980,ASEAN,Agriculture,NA
KHM,Cambodia,1980,ASEAN,Industry,NA
KHM,Cambodia,1980,ASEAN,Services,NA
KHM,Cambodia,1980,ASEAN,Manufacturing,NA
KHM,Cambodia,1981,ASEAN,Agriculture,NA
KHM,Cambodia,1981,ASEAN,Industry,NA
KHM,Cambodia,1981,ASEAN,Services,NA
KHM,Cambodia,1981,ASEAN,Manufacturing,NA
KHM,Cambodia,1982,ASEAN,Agriculture,NA
KHM,Cambodia,1982,ASEAN,Industry,NA
KHM,Cambodia,1982,ASEAN,Services,NA
KHM,Cambodia,1982,ASEAN,Manufacturing,NA
KHM,Cambodia,1983,ASEAN,Agriculture,NA
KHM,Cambodia,1983,ASEAN,Industry,NA
KHM,Cambodia,1983,ASEAN,Services,NA
KHM,Cambodia,1983,ASEAN,Manufacturing,NA
KHM,Cambodia,1984,ASEAN,Agriculture,NA
KHM,Cambodia,1984,ASEAN,Industry,NA
KHM,Cambodia,1984,ASEAN,Services,NA
KHM,Cambodia,1984,ASEAN,Manufacturing,NA
KHM,Cambodia,1985,ASEAN,Agriculture,NA
KHM,Cambodia,1985,ASEAN,Industry,NA
KHM,Cambodia,1985,ASEAN,Services,NA
KHM,Cambodia,1985,ASEAN,Manufacturing,NA
KHM,Cambodia,1986,ASEAN,Agriculture,NA
KHM,Cambodia,1986,ASEAN,Industry,NA
KHM,Cambodia,1986,ASEAN,Services,NA
KHM,Cambodia,1986,ASEAN,Manufacturing,NA
KHM,Cambodia,1987,ASEAN,Agriculture,NA
KHM,Cambodia,1987,ASEAN,Industry,NA
KHM,Cambodia,1987,ASEAN,Services,NA
KHM,Cambodia,1987,ASEAN,Manufacturing,NA
KHM,Cambodia,1988,ASEAN,Agriculture,NA
KHM,Cambodia,1988,ASEAN,Industry,NA
KHM,Cambodia,1988,ASEAN,Services,NA
KHM,Cambodia,1988,ASEAN,Manufacturing,NA
KHM,Cambodia,1989,ASEAN,Agriculture,NA
KHM,Cambodia,1989,ASEAN,Industry,NA
KHM,Cambodia,1989,ASEAN,Services,NA
KHM,Cambodia,1989,ASEAN,Manufacturing,NA
KHM,Cambodia,1990,ASEAN,Agriculture,NA
KHM,Cambodia,1990,ASEAN,Industry,NA
KHM,Cambodia,1990,ASEAN,Services,NA
KHM,Cambodia,1990,ASEAN,Manufacturing,NA
KHM,Cambodia,1991,ASEAN,Agriculture,NA
KHM,Cambodia,1991,ASEAN,Industry,NA
KHM,Cambodia,1991,ASEAN,Services,NA
KHM,Cambodia,1991,ASEAN,Manufacturing,NA
KHM,Cambodia,1992,ASEAN,Agriculture,NA
KHM,Cambodia,1992,ASEAN,Industry,NA
KHM,Cambodia,1992,ASEAN,Services,NA
KHM,Cambodia,1992,ASEAN,Manufacturing,NA
KHM,Cambodia,1993,ASEAN,Agriculture,45.2943821816409
KHM,Cambodia,1993,ASEAN,Industry,12.6462429891696
KHM,Cambodia,1993,ASEAN,Services,39.4239678569411
KHM,Cambodia,1993,ASEAN,Manufacturing,8.61722449730602
KHM,Cambodia,1994,ASEAN,Agriculture,45.5577095437597
KHM,Cambodia,1994,ASEAN,Industry,13.7227155633242
KHM,Cambodia,1994,ASEAN,Services,36.2557496302954
KHM,Cambodia,1994,ASEAN,Manufacturing,8.85380604648524
KHM,Cambodia,1995,ASEAN,Agriculture,47.7245602129901
KHM,Cambodia,1995,ASEAN,Industry,14.26204476065
KHM,Cambodia,1995,ASEAN,Services,34.1915817554512
KHM,Cambodia,1995,ASEAN,Manufacturing,9.14556684183844
KHM,Cambodia,1996,ASEAN,Agriculture,44.4630795625178
KHM,Cambodia,1996,ASEAN,Industry,14.988565801564
KHM,Cambodia,1996,ASEAN,Services,35.9810694223313
KHM,Cambodia,1996,ASEAN,Manufacturing,10.0953294388463
KHM,Cambodia,1997,ASEAN,Agriculture,44.4472126770339
KHM,Cambodia,1997,ASEAN,Industry,16.3857369937735
KHM,Cambodia,1997,ASEAN,Services,35.0877626951943
KHM,Cambodia,1997,ASEAN,Manufacturing,11.6394673783422
KHM,Cambodia,1998,ASEAN,Agriculture,44.4799589633803
KHM,Cambodia,1998,ASEAN,Industry,16.7090818114912
KHM,Cambodia,1998,ASEAN,Services,34.8040317435791
KHM,Cambodia,1998,ASEAN,Manufacturing,12.6611557433598
KHM,Cambodia,1999,ASEAN,Agriculture,40.903852994265
KHM,Cambodia,1999,ASEAN,Industry,18.0398264256172
KHM,Cambodia,1999,ASEAN,Services,35.4418475117996
KHM,Cambodia,1999,ASEAN,Manufacturing,13.1969598109422
KHM,Cambodia,2000,ASEAN,Agriculture,35.5277357364566
KHM,Cambodia,2000,ASEAN,Industry,21.6455986512559
KHM,Cambodia,2000,ASEAN,Services,36.7145633549895
KHM,Cambodia,2000,ASEAN,Manufacturing,15.8261662510115
KHM,Cambodia,2001,ASEAN,Agriculture,32.9653772534886
KHM,Cambodia,2001,ASEAN,Industry,23.2646257907737
KHM,Cambodia,2001,ASEAN,Services,38.0576690261835
KHM,Cambodia,2001,ASEAN,Manufacturing,17.2541894040738
KHM,Cambodia,2002,ASEAN,Agriculture,29.6110046760937
